Index_1,w,c,y,atr,mtr
56,12.915000000000001,16.9125145272259,20.506186615682438,0.17524819001248243,0.5078839054296784
57,13.53,17.413228452888085,21.65417564201919,0.1958489327527986,0.5150715798728103
58,14.175,17.93763976447296,22.873795674744425,0.21579959795311143,0.5216589950494529
59,14.850000000000001,18.485270237125878,24.16437511947537,0.23501972859924675,0.5278608568481831
60,15.557,19.05560086772552,25.526218682980712,0.2534890849136772,0.5340742816091854
61,16.298,19.65292212496733,26.97098443617002,0.27133093078310655,0.539832835269479
62,17.074,20.28344193152635,28.513208261572398,0.28862996596343754,0.5444794655503095
63,17.886,20.93698911795847,30.129258856531774,0.3050944526164638,0.5498184805612859
64,18.738,21.62810297590959,31.85682525055781,0.32108416937965645,0.5541448373289646
65,19.630000000000003,22.345727367257187,33.66939242358374,0.3363192573797348,0.5591004862830495
66,20.565,23.11202883616736,35.62257159868237,0.35119706975275633,0.5622184012495484
67,21.543999999999997,23.90254237143022,37.65539382856953,0.36522925559484876,0.5668113445952248
68,22.57,24.752782963374738,39.85879445118904,0.37898816800174623,0.5690381358928989
69,23.645,25.629053706950028,42.14655524377233,0.39190632404680253,0.573074844319013
70,24.771,26.561828703590173,44.600683504633935,0.4044524295052464,0.575724102629345
71,25.950000000000003,27.550190419112084,47.214964274092424,0.4164945194244424,0.5776895280192282
72,27.186,28.58511396971329,49.9673520011763,0.4279241779904535,0.5802228676663811
73,28.479999999999997,29.689177372998305,52.91659307910905,0.43894389934337436,0.5815268709283118
74,29.836,30.846231062701214,56.019604663984886,0.44936721264417784,0.5834595650780142
75,31.257,32.07924514568782,59.3379537086796,0.4593806637960375,0.5844782149538632
76,32.745000000000005,33.39631458214581,62.886785707596786,0.4689454357322717,0.5845558804438449
77,34.305,34.797390928998254,66.66166509570851,0.4779999737624554,0.5843598323773395
78,35.938,36.27861535492776,70.6512863040851,0.486511608595722,0.5843662831088619
79,37.649,37.84984866246679,74.88314371943302,0.4945478143348257,0.5843105069901857
80,39.442,39.52273663259537,79.38634889277424,0.5021469410820487,0.5839086665527298
81,41.31999999999999,41.36187050904933,84.3130927479858,0.5094252961081487,0.5804550317765069
82,43.288000000000004,43.23708214082522,89.32192371205304,0.5159409880131047,0.5812115777911129
83,45.349000000000004,45.38246334691074,95.0131269210007,0.5223558594735621,0.5750910580821518
84,47.507999999999996,47.67487298731161,101.01342967647395,0.5280343104871817,0.5697877937745324
85,49.77,49.99980050186131,107.06322243154597,0.5329880852985706,0.5697478595846326
86,52.14,52.750746545575424,114.13377860519799,0.537816523817665,0.5596463015316195
87,54.623,55.5998910053133,121.33148125838979,0.5417521452086559,0.5543270711488808
88,57.224000000000004,58.777168525428024,129.2300152587019,0.5451740185299547,0.545470032109722
89,59.94799999999999,62.18443444466044,137.54694048709854,0.5479039066630992,0.5376932383929673
90,62.803000000000004,66.0636097073452,146.80305898580178,0.5499847880299646,0.5246226647004608
91,65.793,70.59201665045106,157.2321701971915,0.5510332487180032,0.5042449039470136
92,68.926,75.38110642449307,167.87921257364556,0.5509801048690007,0.48940998739009733
93,72.208,80.60993276284248,179.17558997522983,0.5501065029338739,0.4749643516084642
94,75.646,87.25870124657371,192.88882722145428,0.5476217959146352,0.44114589126392734
95,79.248,94.54419222027823,207.08870112811778,0.5434604026909832,0.41158455522989734
96,83.02199999999999,103.6234799901653,223.6798017352461,0.5367329585135404,0.3653400110098015
97,86.975,113.87467581625931,241.12104986305238,0.5277281851545694,0.3208459159604542
98,91.11599999999999,128.04253488661118,263.0682836540115,0.513272625996172,0.23739309078214377
99,95.45500000000001,144.90198332391859,286.4308787495294,0.4941118640681591,0.15065148531317718
100,100,169.59023352186549,316.2297657725207,0.46371198451995216,-2.5295370827960184e-05
